timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,position,geolocation
2015-02-03T14:15:00+00:00,0013a20040b31571,1,510,16.1,16.1,16.1,1.4,1.4,1.4,49.2,49.2,49.2,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150203141500,,"-37.8197121, 144.9413253"
2015-02-03T14:45:00+00:00,0013a20040b3155c,1,506,16.5,16.5,16.5,10.0,10.0,10.0,47.5,47.5,47.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150203144500,,"-37.8203537, 144.9404816"
2015-02-04T00:10:00+00:00,0013a20040b3155c,1,506,14.5,14.5,14.5,93.7,93.7,93.7,45.5,45.5,45.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150204001000,,"-37.8203537, 144.9404816"
2015-02-03T20:35:00+00:00,0013a20040b3155c,1,506,15.2,15.2,15.2,87.5,87.5,87.5,53.0,53.0,53.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150203203500,,"-37.8203537, 144.9404816"
2015-02-03T21:30:00+00:00,0013a20040b5b337,1,511,14.8,14.8,14.8,95.2,95.2,95.2,64.4,64.4,64.4,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150203213000,,"-37.8195002, 144.9418888"
2015-02-03T21:30:00+00:00,0013a20040b31583,1,509,15.5,15.5,15.5,93.5,93.5,93.5,67.4,67.4,67.4,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150203213000,,"-37.8199043, 144.9404851"
2015-02-03T22:40:00+00:00,0013a20040b5b337,1,511,17.4,17.4,17.4,97.1,97.1,97.1,51.9,51.9,51.9,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150203224000,,"-37.8195002, 144.9418888"
2015-02-04T05:15:00+00:00,0013a20040b31583,1,509,19.0,19.0,19.0,97.5,97.5,97.5,40.9,40.9,40.9,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150204051500,,"-37.8199043, 144.9404851"
2015-02-04T05:15:00+00:00,0013a20040b3155c,1,506,21.6,21.6,21.6,97.7,97.7,97.7,27.0,27.0,27.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150204051500,,"-37.8203537, 144.9404816"
2015-02-04T06:45:00+00:00,0013a20040b5b337,1,511,20.6,20.6,20.6,98.6,98.6,98.6,34.1,34.1,34.1,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150204064500,,"-37.8195002, 144.9418888"
2015-02-04T07:55:00+00:00,0013a20040b31583,1,509,21.0,21.0,21.0,97.8,97.8,97.8,44.2,44.2,44.2,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150204075500,,"-37.8199043, 144.9404851"
2015-02-04T10:15:00+00:00,0013a20040b3155c,1,506,16.5,16.5,16.5,9.5,9.5,9.5,44.0,44.0,44.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150204101500,,"-37.8203537, 144.9404816"
2015-02-04T12:50:00+00:00,0013a20040b31571,1,510,15.2,15.2,15.2,1.2,1.2,1.2,54.1,54.1,54.1,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150204125000,,"-37.8197121, 144.9413253"
2015-02-04T13:30:00+00:00,0013a20040b31571,1,510,14.8,14.8,14.8,1.1,1.1,1.1,53.8,53.8,53.8,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150204133000,,"-37.8197121, 144.9413253"
2015-02-04T14:05:00+00:00,0013a20040b31583,1,509,15.5,15.5,15.5,3.2,3.2,3.2,63.3,63.3,63.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150204140500,,"-37.8199043, 144.9404851"
2015-02-04T14:15:00+00:00,0013a20040b31583,1,509,15.5,15.5,15.5,3.2,3.2,3.2,64.1,64.1,64.1,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150204141500,,"-37.8199043, 144.9404851"
2015-02-04T14:55:00+00:00,0013a20040b31571,1,510,14.2,14.2,14.2,1.1,1.1,1.1,54.8,54.8,54.8,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150204145500,,"-37.8197121, 144.9413253"
2015-02-04T20:10:00+00:00,0013a20040b3155c,1,506,13.9,13.9,13.9,86.3,86.3,86.3,45.1,45.1,45.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20150204201000,,"-37.8203537, 144.9404816"
2015-02-04T19:15:00+00:00,0013a20040b5b337,1,511,14.2,14.2,14.2,17.7,17.7,17.7,56.3,56.3,56.3,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150204191500,,"-37.8195002, 144.9418888"
2015-02-04T19:10:00+00:00,0013a20040b31571,1,510,13.2,13.2,13.2,4.7,4.7,4.7,56.0,56.0,56.0,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150204191000,,"-37.8197121, 144.9413253"
2015-02-04T20:15:00+00:00,0013a20040b31583,1,509,14.5,14.5,14.5,89.6,89.6,89.6,63.4,63.4,63.4,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150204201500,,"-37.8199043, 144.9404851"
2015-02-05T02:15:00+00:00,0013a20040b31583,1,509,24.2,24.2,24.2,96.5,96.5,96.5,48.6,48.6,48.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205021500,,"-37.8199043, 144.9404851"
2015-02-05T03:05:00+00:00,0013a20040b31583,1,509,23.5,23.5,23.5,97.3,97.3,97.3,43.6,43.6,43.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205030500,,"-37.8199043, 144.9404851"
2015-02-05T04:20:00+00:00,0013a20040b31583,1,509,23.5,23.5,23.5,97.3,97.3,97.3,48.6,48.6,48.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205042000,,"-37.8199043, 144.9404851"
2015-02-05T07:15:00+00:00,0013a20040b31583,1,509,23.5,23.5,23.5,97.8,97.8,97.8,51.6,51.6,51.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205071500,,"-37.8199043, 144.9404851"
2015-02-08T16:15:00+00:00,0013a20040b31571,1,510,15.2,15.2,15.2,1.3,1.3,1.3,48.9,48.9,48.9,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150208161500,,"-37.8197121, 144.9413253"
2015-02-06T11:20:00+00:00,0013a20040b31571,1,510,26.5,26.5,26.5,1.0,1.0,1.0,36.0,36.0,36.0,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206112000,,"-37.8197121, 144.9413253"
2015-02-06T18:10:00+00:00,0013a20040b31583,1,509,25.2,25.2,25.2,3.2,3.2,3.2,36.9,36.9,36.9,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206181000,,"-37.8199043, 144.9404851"
2015-02-05T09:35:00+00:00,0013a20040b31583,1,509,20.3,20.3,20.3,51.2,51.2,51.2,60.0,60.0,60.0,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205093500,,"-37.8199043, 144.9404851"
2015-02-05T10:20:00+00:00,0013a20040b31583,1,509,19.7,19.7,19.7,3.2,3.2,3.2,60.8,60.8,60.8,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150205102000,,"-37.8199043, 144.9404851"
2015-02-06T15:30:00+00:00,0013a20040b31571,1,510,24.2,24.2,24.2,1.0,1.0,1.0,41.5,41.5,41.5,ENV,-37.8197121,144.9413253,,Docklands Library,510-20150206153000,,"-37.8197121, 144.9413253"
2015-02-06T22:55:00+00:00,0013a20040b31583,1,509,27.1,27.1,27.1,96.2,96.2,96.2,33.3,33.3,33.3,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150206225500,,"-37.8199043, 144.9404851"
2015-02-07T00:40:00+00:00,0013a20040b31583,1,509,31.3,31.3,31.3,97.2,97.2,97.2,25.6,25.6,25.6,ENV,-37.8199043,144.9404851,,Docklands Library,509-20150207004000,,"-37.8199043, 144.9404851"
2015-02-05T16:05:00+00:00,0013a20040b5b337,1,511,15.8,15.8,15.8,10.7,10.7,10.7,58.7,58.7,58.7,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150205160500,,"-37.8195002, 144.9418888"
2015-02-06T08:40:00+00:00,0013a20040b5b337,1,511,31.6,31.6,31.6,94.4,94.4,94.4,27.3,27.3,27.3,ENV,-37.8195002,144.9418888,,Docklands Library,511-20150206084000,,"-37.8195002, 144.9418888"
